# 华擎 ASRock 显卡型号表（官网核实）

来源：asmrock.com 官网显卡产品页抓取，2026-09 核查。
这是本项目中**唯一逐条核对了覆盖型号**的 AIC 厂商，
数据用于 js/db-aib.js 中 asrock-* 系列的 onlyGpus 字段。

格式：完整型号名 | 所属 GPU | 厂内 SKU 代号
Radeon RX 6650 XT Phantom Gaming D 8GB OC | AMD Radeon RX 6650 XT | RX6650XT PGD 8GO
Radeon RX 6650 XT Steel Legend 8GB OC | AMD Radeon RX 6650 XT | RX6650XT SL 8GO
Radeon RX 6650 XT Challenger D 8GB OC | AMD Radeon RX 6650 XT | RX6650XT CLD 8GO
Radeon RX 6600 XT Phantom Gaming D 8GB OC | AMD Radeon RX 6600 XT | RX6600XT PGD 8GO
Radeon RX 6600 XT Challenger Pro 8GB OC | AMD Radeon RX 6600 XT | RX6600XT CLP 8GO
Radeon RX 6600 XT Challenger D 8GB OC | AMD Radeon RX 6600 XT | RX6600XT CLD 8GO
Radeon RX 6600 XT Challenger ITX 8GB | AMD Radeon RX 6600 XT | RX6600XT CLI 8G
Radeon RX 6600 Challenger D 8GB | AMD Radeon RX 6600 | RX6600 CLD 8G
Radeon RX 6600 Challenger White 8GB | AMD Radeon RX 6600 | RX6600 CLW 8G
Radeon RX 6600 Challenger ITX 8GB | AMD Radeon RX 6600 | RX6600 CLI 8G
Radeon RX 6500 XT Phantom Gaming 8GB OC | AMD Radeon RX 6500 XT | RX6500XT PG 8GO
Radeon RX 6500 XT Phantom Gaming D 4GB OC | AMD Radeon RX 6500 XT | RX6500XT PGD 4GO
Radeon RX 6500 XT Challenger ITX 4GB | AMD Radeon RX 6500 XT | RX6500XT CLI 4G
Radeon RX 6400 Challenger ITX 4GB | AMD Radeon RX 6400 | RX6400 CLI 4G
Radeon RX 6400 Low Profile 4GB | AMD Radeon RX 6400 | RX6400 LP 4G
Radeon RX550 Low Profile 4GB | AMD Radeon RX 550/550 | RX550 LP 4G
